IP地址,数据中心,地区,城市,网络延迟
1.0.0.131,SJC,北美洲,圣何塞,205 ms
104.23.139.227,IAD,北美洲,阿什本,206 ms
104.21.107.55,LHR,欧洲,伦敦,206 ms
172.67.243.189,LHR,欧洲,伦敦,206 ms
104.21.204.9,LHR,欧洲,伦敦,206 ms
104.24.31.238,IAD,北美洲,阿什本,206 ms
162.159.35.34,IAD,北美洲,阿什本,206 ms
162.159.34.64,IAD,北美洲,阿什本,206 ms
1.0.0.112,SJC,北美洲,圣何塞,206 ms
104.21.78.130,LHR,欧洲,伦敦,206 ms
172.67.205.241,LHR,欧洲,伦敦,206 ms
172.67.40.46,HKG,亚太地区,香港,207 ms
172.67.189.188,LHR,欧洲,伦敦,207 ms
172.67.25.32,HKG,亚太地区,香港,207 ms
104.23.138.100,IAD,北美洲,阿什本,208 ms
1.0.0.223,SJC,北美洲,圣何塞,208 ms
172.67.235.134,LHR,欧洲,伦敦,208 ms
172.64.100.112,BUF,北美洲,水牛城,208 ms
1.1.1.218,SJC,北美洲,圣何塞,209 ms
1.1.1.117,SJC,北美洲,圣何塞,209 ms
172.67.29.103,HKG,亚太地区,香港,209 ms
172.64.98.120,BUF,北美洲,水牛城,209 ms
1.0.0.225,SJC,北美洲,圣何塞,210 ms
172.65.55.105,LHR,欧洲,伦敦,210 ms
172.67.168.29,LHR,欧洲,伦敦,210 ms
172.67.132.95,LHR,欧洲,伦敦,210 ms
104.23.132.157,IAD,北美洲,阿什本,210 ms
104.17.38.187,SJC,北美洲,圣何塞,210 ms
172.64.99.167,BUF,北美洲,水牛城,210 ms
172.64.201.137,BUF,北美洲,水牛城,210 ms
104.23.142.34,IAD,北美洲,阿什本,211 ms
172.64.130.40,BUF,北美洲,水牛城,211 ms
172.67.234.116,LHR,欧洲,伦敦,211 ms
104.27.204.13,IAD,北美洲,阿什本,211 ms
172.64.138.26,BUF,北美洲,水牛城,212 ms
172.64.139.72,BUF,北美洲,水牛城,212 ms
172.64.168.12,BUF,北美洲,水牛城,212 ms
162.159.42.139,IAD,北美洲,阿什本,212 ms
104.23.136.98,IAD,北美洲,阿什本,212 ms
172.64.172.216,BUF,北美洲,水牛城,212 ms
172.67.149.12,LHR,欧洲,伦敦,213 ms
172.64.141.113,BUF,北美洲,水牛城,213 ms
162.159.43.49,IAD,北美洲,阿什本,213 ms
104.24.196.132,IAD,北美洲,阿什本,213 ms
104.21.99.255,LHR,欧洲,伦敦,214 ms
172.64.107.201,BUF,北美洲,水牛城,214 ms
172.64.171.255,BUF,北美洲,水牛城,214 ms
104.23.135.175,IAD,北美洲,阿什本,214 ms
172.64.146.12,HKG,亚太地区,香港,214 ms
172.64.161.248,BUF,北美洲,水牛城,215 ms
172.64.106.37,BUF,北美洲,水牛城,215 ms
172.64.195.243,BUF,北美洲,水牛城,215 ms
172.64.194.73,BUF,北美洲,水牛城,215 ms
1.0.0.5,SJC,北美洲,圣何塞,216 ms
104.27.202.239,IAD,北美洲,阿什本,216 ms
104.27.201.26,IAD,北美洲,阿什本,216 ms
198.41.212.110,IAD,北美洲,阿什本,216 ms
104.23.128.53,IAD,北美洲,阿什本,217 ms
104.21.202.12,LHR,欧洲,伦敦,217 ms
104.18.123.17,LAX,北美洲,洛杉矶,217 ms
104.19.133.146,LAX,北美洲,洛杉矶,217 ms
172.67.146.149,LHR,欧洲,伦敦,217 ms
104.23.130.253,IAD,北美洲,阿什本,217 ms
172.64.192.32,BUF,北美洲,水牛城,217 ms
104.23.143.33,IAD,北美洲,阿什本,217 ms
172.64.169.150,BUF,北美洲,水牛城,217 ms
104.23.129.203,IAD,北美洲,阿什本,218 ms
104.19.248.176,LAX,北美洲,洛杉矶,218 ms
162.159.134.48,SJC,北美洲,圣何塞,218 ms
104.27.196.148,IAD,北美洲,阿什本,218 ms
172.64.202.153,BUF,北美洲,水牛城,218 ms
104.21.73.185,LHR,欧洲,伦敦,218 ms
172.67.158.224,LHR,欧洲,伦敦,218 ms
104.21.91.33,LHR,欧洲,伦敦,219 ms
104.21.125.242,LHR,欧洲,伦敦,219 ms
104.21.60.26,LHR,欧洲,伦敦,219 ms
172.67.152.77,LHR,欧洲,伦敦,219 ms
1.0.0.204,SJC,北美洲,圣何塞,219 ms
172.67.212.35,LHR,欧洲,伦敦,219 ms
172.64.165.166,BUF,北美洲,水牛城,219 ms
156.238.19.98,SJC,北美洲,圣何塞,220 ms
104.18.116.215,LAX,北美洲,洛杉矶,220 ms
104.23.134.38,IAD,北美洲,阿什本,220 ms
172.64.200.45,BUF,北美洲,水牛城,220 ms
104.21.211.187,LHR,欧洲,伦敦,220 ms
172.67.178.175,LHR,欧洲,伦敦,220 ms
104.23.137.188,IAD,北美洲,阿什本,220 ms
104.21.42.154,LHR,欧洲,伦敦,220 ms
104.21.120.171,LHR,欧洲,伦敦,221 ms
172.67.249.163,LHR,欧洲,伦敦,221 ms
104.21.108.40,LHR,欧洲,伦敦,221 ms
104.27.194.53,IAD,北美洲,阿什本,221 ms
172.64.128.226,BUF,北美洲,水牛城,221 ms
104.21.65.8,LHR,欧洲,伦敦,221 ms
104.21.205.121,LHR,欧洲,伦敦,221 ms
188.114.97.4,LHR,欧洲,伦敦,221 ms
104.21.47.82,LHR,欧洲,伦敦,222 ms
172.67.41.204,HKG,亚太地区,香港,222 ms
104.21.35.75,LHR,欧洲,伦敦,222 ms
104.21.109.63,LHR,欧洲,伦敦,222 ms
162.159.254.229,LAX,北美洲,洛杉矶,222 ms
172.67.134.106,LHR,欧洲,伦敦,222 ms
104.21.69.16,LHR,欧洲,伦敦,222 ms
172.67.221.33,LHR,欧洲,伦敦,222 ms
172.67.183.149,LHR,欧洲,伦敦,222 ms
162.159.249.26,LAX,北美洲,洛杉矶,223 ms
172.67.177.19,LHR,欧洲,伦敦,223 ms
172.67.4.25,IAD,北美洲,阿什本,223 ms
104.21.116.128,LHR,欧洲,伦敦,223 ms
1.0.0.31,SJC,北美洲,圣何塞,223 ms
172.64.175.57,BUF,北美洲,水牛城,223 ms
188.114.96.104,LHR,欧洲,伦敦,223 ms
1.0.0.142,SJC,北美洲,圣何塞,223 ms
1.0.0.201,SJC,北美洲,圣何塞,223 ms
172.64.196.99,BUF,北美洲,水牛城,224 ms
172.67.253.126,LHR,欧洲,伦敦,224 ms
172.64.110.71,BUF,北美洲,水牛城,224 ms
198.41.217.87,SJC,北美洲,圣何塞,224 ms
104.17.50.186,SJC,北美洲,圣何塞,224 ms
172.64.109.32,BUF,北美洲,水牛城,224 ms
104.17.63.178,SJC,北美洲,圣何塞,224 ms
172.67.143.216,LHR,欧洲,伦敦,225 ms
172.67.251.40,LHR,欧洲,伦敦,225 ms
172.67.163.96,LHR,欧洲,伦敦,225 ms
104.18.192.97,SJC,北美洲,圣何塞,225 ms
172.67.236.200,LHR,欧洲,伦敦,225 ms
172.64.132.34,BUF,北美洲,水牛城,225 ms
172.64.162.60,BUF,北美洲,水牛城,225 ms
172.64.204.247,BUF,北美洲,水牛城,225 ms
172.64.205.155,BUF,北美洲,水牛城,226 ms
104.27.206.210,IAD,北美洲,阿什本,226 ms
172.64.203.125,BUF,北美洲,水牛城,226 ms
172.64.207.190,BUF,北美洲,水牛城,226 ms
172.67.172.183,LHR,欧洲,伦敦,226 ms
172.64.166.98,BUF,北美洲,水牛城,227 ms
172.67.217.207,LHR,欧洲,伦敦,227 ms
104.27.193.220,IAD,北美洲,阿什本,227 ms
172.64.167.11,BUF,北美洲,水牛城,227 ms
104.18.37.127,SJC,北美洲,圣何塞,227 ms
104.27.199.6,IAD,北美洲,阿什本,227 ms
104.27.200.68,IAD,北美洲,阿什本,227 ms
172.64.198.151,BUF,北美洲,水牛城,227 ms
104.23.96.72,IAD,北美洲,阿什本,228 ms
104.27.203.245,IAD,北美洲,阿什本,228 ms
172.67.201.184,LHR,欧洲,伦敦,228 ms
104.21.115.46,LHR,欧洲,伦敦,228 ms
104.21.198.115,LHR,欧洲,伦敦,229 ms
104.27.207.193,IAD,北美洲,阿什本,229 ms
104.21.124.1,LHR,欧洲,伦敦,229 ms
162.159.25.179,SJC,北美洲,圣何塞,229 ms
198.41.197.58,SJC,北美洲,圣何塞,229 ms
104.18.180.246,SJC,北美洲,圣何塞,229 ms
104.21.196.100,LHR,欧洲,伦敦,229 ms
172.64.163.170,BUF,北美洲,水牛城,230 ms
104.24.128.230,IAD,北美洲,阿什本,230 ms
104.21.20.81,LHR,欧洲,伦敦,230 ms
198.41.196.226,SJC,北美洲,圣何塞,230 ms
104.27.192.213,IAD,北美洲,阿什本,230 ms
104.18.47.176,SJC,北美洲,圣何塞,230 ms
104.23.101.186,IAD,北美洲,阿什本,230 ms
172.67.43.228,HKG,亚太地区,香港,230 ms
172.67.173.103,LHR,欧洲,伦敦,230 ms
172.67.167.10,LHR,欧洲,伦敦,231 ms
104.23.133.247,IAD,北美洲,阿什本,231 ms
104.25.222.117,IAD,北美洲,阿什本,231 ms
104.20.137.191,IAD,北美洲,阿什本,231 ms
172.67.165.226,LHR,欧洲,伦敦,231 ms
172.64.143.205,BUF,北美洲,水牛城,231 ms
172.64.96.40,BUF,北美洲,水牛城,232 ms
104.21.221.29,LHR,欧洲,伦敦,232 ms
104.18.191.103,SJC,北美洲,圣何塞,232 ms
172.67.139.238,LHR,欧洲,伦敦,232 ms
172.64.97.184,BUF,北美洲,水牛城,232 ms
172.67.250.228,LHR,欧洲,伦敦,232 ms
104.21.117.84,LHR,欧洲,伦敦,232 ms
104.21.102.166,LHR,欧洲,伦敦,233 ms
172.67.242.80,LHR,欧洲,伦敦,233 ms
104.18.199.56,SJC,北美洲,圣何塞,233 ms
172.64.164.129,BUF,北美洲,水牛城,234 ms
104.17.171.53,SJC,北美洲,圣何塞,234 ms
172.64.197.6,BUF,北美洲,水牛城,234 ms
104.17.93.130,SJC,北美洲,圣何塞,234 ms
104.18.32.69,SJC,北美洲,圣何塞,234 ms
104.18.137.250,SJC,北美洲,圣何塞,235 ms
104.25.63.105,IAD,北美洲,阿什本,235 ms
104.21.81.190,LHR,欧洲,伦敦,235 ms
162.159.137.98,SJC,北美洲,圣何塞,235 ms
172.64.131.184,BUF,北美洲,水牛城,235 ms
172.64.129.209,BUF,北美洲,水牛城,235 ms
104.16.237.194,SJC,北美洲,圣何塞,235 ms
104.18.171.62,SJC,北美洲,圣何塞,236 ms
5.226.179.45,SJC,北美洲,圣何塞,236 ms
172.67.209.54,LHR,欧洲,伦敦,237 ms
172.67.135.46,LHR,欧洲,伦敦,237 ms
104.25.89.241,IAD,北美洲,阿什本,237 ms
104.20.229.134,IAD,北美洲,阿什本,237 ms
172.67.157.64,LHR,欧洲,伦敦,238 ms
162.159.160.237,CDG,欧洲,巴黎,238 ms
104.18.181.220,SJC,北美洲,圣何塞,238 ms
172.64.133.48,BUF,北美洲,水牛城,238 ms
172.64.170.52,BUF,北美洲,水牛城,238 ms
172.64.105.133,BUF,北美洲,水牛城,239 ms
172.64.160.76,BUF,北美洲,水牛城,240 ms
1.0.0.144,SJC,北美洲,圣何塞,240 ms
45.131.209.15,SJC,北美洲,圣何塞,240 ms
172.64.111.90,BUF,北美洲,水牛城,240 ms
1.0.0.73,SJC,北美洲,圣何塞,240 ms
172.67.240.202,LHR,欧洲,伦敦,240 ms
172.64.140.37,BUF,北美洲,水牛城,241 ms
104.21.224.176,LAX,北美洲,洛杉矶,241 ms
172.67.239.224,LHR,欧洲,伦敦,242 ms
104.20.218.74,IAD,北美洲,阿什本,242 ms
172.64.103.145,BUF,北美洲,水牛城,243 ms
172.64.102.111,BUF,北美洲,水牛城,243 ms
104.21.21.23,LHR,欧洲,伦敦,244 ms
172.67.185.139,LHR,欧洲,伦敦,244 ms
77.37.33.161,SJC,北美洲,圣何塞,244 ms
104.21.226.133,LAX,北美洲,洛杉矶,244 ms
104.21.219.139,LHR,欧洲,伦敦,245 ms
162.159.15.153,SJC,北美洲,圣何塞,245 ms
104.24.190.21,IAD,北美洲,阿什本,246 ms
172.64.137.227,BUF,北美洲,水牛城,246 ms
172.64.136.212,BUF,北美洲,水牛城,246 ms
104.19.242.215,LAX,北美洲,洛杉矶,246 ms
104.20.85.186,IAD,北美洲,阿什本,246 ms
104.25.33.203,IAD,北美洲,阿什本,246 ms
104.16.205.119,SJC,北美洲,圣何塞,247 ms
104.18.44.156,SJC,北美洲,圣何塞,247 ms
104.20.73.204,IAD,北美洲,阿什本,247 ms
104.16.228.252,SJC,北美洲,圣何塞,248 ms
104.21.222.70,LHR,欧洲,伦敦,248 ms
172.67.174.188,LHR,欧洲,伦敦,248 ms
104.21.67.255,LHR,欧洲,伦敦,249 ms
104.18.222.7,SJC,北美洲,圣何塞,249 ms
104.21.100.229,LHR,欧洲,伦敦,249 ms
162.159.128.213,SJC,北美洲,圣何塞,249 ms
172.67.245.25,LHR,欧洲,伦敦,249 ms
172.64.199.37,BUF,北美洲,水牛城,250 ms
104.21.231.122,LAX,北美洲,洛杉矶,250 ms
104.17.167.49,SJC,北美洲,圣何塞,251 ms
104.24.48.198,IAD,北美洲,阿什本,252 ms
104.18.197.148,SJC,北美洲,圣何塞,252 ms
5.10.244.172,SJC,北美洲,圣何塞,254 ms
104.22.8.124,IAD,北美洲,阿什本,255 ms
172.67.188.132,LHR,欧洲,伦敦,255 ms
104.21.203.149,LHR,欧洲,伦敦,255 ms
104.20.52.186,IAD,北美洲,阿什本,256 ms
172.67.175.168,LHR,欧洲,伦敦,256 ms
104.17.173.119,SJC,北美洲,圣何塞,257 ms
104.17.178.113,SJC,北美洲,圣何塞,257 ms
162.159.44.6,LAX,北美洲,洛杉矶,258 ms
104.19.131.145,LAX,北美洲,洛杉矶,258 ms
172.67.129.151,LHR,欧洲,伦敦,259 ms
104.27.65.120,IAD,北美洲,阿什本,260 ms
172.67.210.225,LHR,欧洲,伦敦,260 ms
162.159.24.4,SJC,北美洲,圣何塞,260 ms
172.64.104.37,BUF,北美洲,水牛城,260 ms
104.18.103.198,SJC,北美洲,圣何塞,260 ms
1.1.1.32,SJC,北美洲,圣何塞,261 ms
172.64.142.194,BUF,北美洲,水牛城,261 ms
104.21.96.90,LHR,欧洲,伦敦,261 ms
104.20.154.167,IAD,北美洲,阿什本,262 ms
104.21.75.17,LHR,欧洲,伦敦,262 ms
172.67.181.196,LHR,欧洲,伦敦,263 ms
89.116.180.63,SJC,北美洲,圣何塞,263 ms
104.17.151.74,SJC,北美洲,圣何塞,263 ms
162.159.136.136,SJC,北美洲,圣何塞,264 ms
45.159.216.220,SJC,北美洲,圣何塞,264 ms
104.21.122.192,LHR,欧洲,伦敦,265 ms
104.21.28.29,LHR,欧洲,伦敦,265 ms
104.21.32.210,LHR,欧洲,伦敦,266 ms
172.67.186.131,LHR,欧洲,伦敦,267 ms
104.21.206.161,LHR,欧洲,伦敦,267 ms
172.67.169.243,LHR,欧洲,伦敦,267 ms
104.16.123.234,LAX,北美洲,洛杉矶,267 ms
104.27.82.87,IAD,北美洲,阿什本,268 ms
104.27.26.205,IAD,北美洲,阿什本,268 ms
104.20.243.40,IAD,北美洲,阿什本,269 ms
172.67.184.33,LHR,欧洲,伦敦,269 ms
104.23.124.242,IAD,北美洲,阿什本,269 ms
104.17.96.1,SJC,北美洲,圣何塞,269 ms
172.67.248.94,LHR,欧洲,伦敦,270 ms
104.21.126.143,LHR,欧洲,伦敦,270 ms
104.25.175.60,IAD,北美洲,阿什本,270 ms
104.21.25.108,LHR,欧洲,伦敦,271 ms
104.21.229.166,LAX,北美洲,洛杉矶,272 ms
104.21.214.221,LHR,欧洲,伦敦,272 ms
104.21.2.236,LHR,欧洲,伦敦,274 ms
104.21.98.24,LHR,欧洲,伦敦,275 ms
104.21.8.108,LHR,欧洲,伦敦,275 ms
104.21.87.240,LHR,欧洲,伦敦,276 ms
104.19.247.44,LAX,北美洲,洛杉矶,277 ms
104.21.223.185,LHR,欧洲,伦敦,278 ms
162.159.248.73,LAX,北美洲,洛杉矶,279 ms
104.21.114.159,LHR,欧洲,伦敦,279 ms
172.67.227.133,LHR,欧洲,伦敦,279 ms
172.64.94.224,SJC,北美洲,圣何塞,279 ms
104.24.217.8,IAD,北美洲,阿什本,280 ms
104.17.15.232,SJC,北美洲,圣何塞,280 ms
104.19.141.158,LAX,北美洲,洛杉矶,280 ms
104.21.216.183,LHR,欧洲,伦敦,280 ms
172.67.229.101,LHR,欧洲,伦敦,280 ms
1.1.1.167,SJC,北美洲,圣何塞,280 ms
104.21.9.251,LHR,欧洲,伦敦,282 ms
172.67.136.47,LHR,欧洲,伦敦,284 ms
172.67.65.25,IAD,北美洲,阿什本,285 ms
172.67.215.3,LHR,欧洲,伦敦,286 ms
162.159.242.187,LAX,北美洲,洛杉矶,286 ms
172.67.213.222,LHR,欧洲,伦敦,287 ms
172.67.214.247,LHR,欧洲,伦敦,288 ms
104.18.2.36,SJC,北美洲,圣何塞,288 ms
104.25.220.139,IAD,北美洲,阿什本,288 ms
104.21.195.96,LHR,欧洲,伦敦,289 ms
104.21.5.24,LHR,欧洲,伦敦,289 ms
104.21.97.185,LHR,欧洲,伦敦,289 ms
104.21.66.138,LHR,欧洲,伦敦,289 ms
1.0.0.115,SJC,北美洲,圣何塞,290 ms
172.67.252.103,LHR,欧洲,伦敦,291 ms
172.67.254.193,LHR,欧洲,伦敦,291 ms
1.1.1.244,SJC,北美洲,圣何塞,292 ms
172.67.93.167,IAD,北美洲,阿什本,292 ms
172.67.196.36,LHR,欧洲,伦敦,293 ms
104.24.30.49,IAD,北美洲,阿什本,293 ms
104.25.30.233,IAD,北美洲,阿什本,294 ms
104.18.215.247,SJC,北美洲,圣何塞,295 ms
104.21.235.79,LAX,北美洲,洛杉矶,295 ms
104.18.81.177,SJC,北美洲,圣何塞,295 ms
162.159.4.208,SJC,北美洲,圣何塞,295 ms
104.19.135.57,LAX,北美洲,洛杉矶,296 ms
104.21.193.202,LHR,欧洲,伦敦,296 ms
104.19.130.240,LAX,北美洲,洛杉矶,297 ms
104.24.29.252,IAD,北美洲,阿什本,297 ms
104.18.90.161,SJC,北美洲,圣何塞,297 ms
104.18.71.180,SJC,北美洲,圣何塞,298 ms
1.1.1.9,SJC,北美洲,圣何塞,298 ms
104.22.75.50,IAD,北美洲,阿什本,298 ms
104.18.76.102,SJC,北美洲,圣何塞,299 ms
162.159.32.51,SJC,北美洲,圣何塞,299 ms
104.20.132.54,IAD,北美洲,阿什本,299 ms
104.17.91.216,SJC,北美洲,圣何塞,300 ms
104.27.31.0,IAD,北美洲,阿什本,301 ms
104.18.91.231,SJC,北美洲,圣何塞,301 ms
172.65.252.80,SJC,北美洲,圣何塞,301 ms
104.21.238.189,LAX,北美洲,洛杉矶,302 ms
1.1.1.122,SJC,北美洲,圣何塞,302 ms
104.17.126.87,SJC,北美洲,圣何塞,304 ms
104.21.39.109,LHR,欧洲,伦敦,305 ms
104.16.127.151,LAX,北美洲,洛杉矶,305 ms
172.67.160.36,LHR,欧洲,伦敦,306 ms
104.19.202.92,SJC,北美洲,圣何塞,306 ms
1.0.0.69,SJC,北美洲,圣何塞,306 ms
172.67.204.91,LHR,欧洲,伦敦,307 ms
104.16.121.196,LAX,北美洲,洛杉矶,307 ms
104.16.116.183,LAX,北美洲,洛杉矶,308 ms
45.131.210.4,SJC,北美洲,圣何塞,309 ms
104.21.123.217,LHR,欧洲,伦敦,309 ms
172.67.144.87,LHR,欧洲,伦敦,309 ms
1.0.0.143,SJC,北美洲,圣何塞,311 ms
104.19.129.101,LAX,北美洲,洛杉矶,311 ms
1.0.0.228,SJC,北美洲,圣何塞,311 ms
198.41.194.111,SJC,北美洲,圣何塞,312 ms
104.21.15.162,LHR,欧洲,伦敦,312 ms
172.67.211.222,LHR,欧洲,伦敦,312 ms
104.17.29.24,SJC,北美洲,圣何塞,314 ms
104.17.106.179,SJC,北美洲,圣何塞,315 ms
104.16.82.211,SJC,北美洲,圣何塞,316 ms
172.67.171.16,LHR,欧洲,伦敦,316 ms
104.21.225.194,LAX,北美洲,洛杉矶,316 ms
172.67.216.77,LHR,欧洲,伦敦,317 ms
162.159.45.53,LAX,北美洲,洛杉矶,317 ms
172.67.170.144,LHR,欧洲,伦敦,318 ms
104.21.29.219,LHR,欧洲,伦敦,318 ms
104.25.17.136,IAD,北美洲,阿什本,318 ms
104.24.19.169,IAD,北美洲,阿什本,318 ms
104.21.82.93,LHR,欧洲,伦敦,319 ms
172.64.40.183,LAX,北美洲,洛杉矶,319 ms
104.24.63.144,IAD,北美洲,阿什本,319 ms
162.159.240.163,LAX,北美洲,洛杉矶,319 ms
172.67.199.19,LHR,欧洲,伦敦,320 ms
1.0.0.237,SJC,北美洲,圣何塞,320 ms
104.25.62.127,IAD,北美洲,阿什本,321 ms
104.24.87.123,IAD,北美洲,阿什本,321 ms
1.0.0.76,SJC,北美洲,圣何塞,321 ms
104.18.153.17,SJC,北美洲,圣何塞,321 ms
104.20.15.252,IAD,北美洲,阿什本,322 ms
172.67.179.201,LHR,欧洲,伦敦,322 ms
172.67.138.23,LHR,欧洲,伦敦,323 ms
104.17.155.115,SJC,北美洲,圣何塞,323 ms
104.27.104.47,IAD,北美洲,阿什本,323 ms
172.67.141.3,LHR,欧洲,伦敦,324 ms
104.21.54.246,LHR,欧洲,伦敦,324 ms
104.19.134.251,LAX,北美洲,洛杉矶,325 ms
104.21.80.34,LHR,欧洲,伦敦,327 ms
104.18.97.130,SJC,北美洲,圣何塞,328 ms
172.67.241.143,LHR,欧洲,伦敦,328 ms
172.64.149.15,SJC,北美洲,圣何塞,330 ms
104.17.191.135,SJC,北美洲,圣何塞,332 ms
162.159.244.242,LAX,北美洲,洛杉矶,332 ms
104.18.242.96,SJC,北美洲,圣何塞,333 ms
104.25.31.116,IAD,北美洲,阿什本,333 ms
104.17.6.82,SJC,北美洲,圣何塞,333 ms
1.0.0.111,SJC,北美洲,圣何塞,333 ms
172.67.182.22,LHR,欧洲,伦敦,333 ms
104.16.73.143,SJC,北美洲,圣何塞,333 ms
1.0.0.141,SJC,北美洲,圣何塞,334 ms
104.17.27.174,SJC,北美洲,圣何塞,334 ms
104.17.220.24,SJC,北美洲,圣何塞,334 ms
104.17.111.130,SJC,北美洲,圣何塞,334 ms
104.20.185.115,IAD,北美洲,阿什本,335 ms
104.18.154.240,SJC,北美洲,圣何塞,335 ms
172.67.140.109,LHR,欧洲,伦敦,335 ms
162.159.245.209,LAX,北美洲,洛杉矶,336 ms
1.0.0.199,SJC,北美洲,圣何塞,336 ms
104.21.3.143,LHR,欧洲,伦敦,337 ms
104.16.182.150,SJC,北美洲,圣何塞,337 ms
104.17.81.94,SJC,北美洲,圣何塞,338 ms
1.0.0.132,SJC,北美洲,圣何塞,339 ms
1.1.1.35,SJC,北美洲,圣何塞,339 ms
104.16.64.68,SJC,北美洲,圣何塞,339 ms
104.21.85.181,LHR,欧洲,伦敦,339 ms
1.0.0.19,SJC,北美洲,圣何塞,339 ms
104.18.250.223,SJC,北美洲,圣何塞,340 ms
172.67.225.192,LHR,欧洲,伦敦,340 ms
1.0.0.117,SJC,北美洲,圣何塞,340 ms
104.26.9.228,IAD,北美洲,阿什本,340 ms
1.1.1.127,SJC,北美洲,圣何塞,340 ms
92.243.74.71,SJC,北美洲,圣何塞,341 ms
172.67.176.191,LHR,欧洲,伦敦,341 ms
104.27.73.150,IAD,北美洲,阿什本,341 ms
1.0.0.165,SJC,北美洲,圣何塞,341 ms
104.17.180.210,SJC,北美洲,圣何塞,342 ms
1.1.1.117,SJC,北美洲,圣何塞,342 ms
104.16.55.161,SJC,北美洲,圣何塞,342 ms
5.10.247.95,SJC,北美洲,圣何塞,343 ms
104.18.78.234,SJC,北美洲,圣何塞,343 ms
104.16.226.0,SJC,北美洲,圣何塞,344 ms
172.67.133.244,LHR,欧洲,伦敦,344 ms
1.0.0.175,SJC,北美洲,圣何塞,344 ms
1.1.1.174,SJC,北美洲,圣何塞,344 ms
104.18.8.73,SJC,北美洲,圣何塞,344 ms
1.0.0.111,SJC,北美洲,圣何塞,344 ms
103.11.212.156,SJC,北美洲,圣何塞,344 ms
1.1.1.146,SJC,北美洲,圣何塞,344 ms
199.60.103.217,SJC,北美洲,圣何塞,344 ms
198.217.251.193,SJC,北美洲,圣何塞,344 ms
104.17.122.110,SJC,北美洲,圣何塞,344 ms
104.16.192.107,SJC,北美洲,圣何塞,344 ms
104.24.16.161,IAD,北美洲,阿什本,345 ms
104.17.152.214,SJC,北美洲,圣何塞,345 ms
104.18.95.176,SJC,北美洲,圣何塞,345 ms
104.18.13.136,SJC,北美洲,圣何塞,345 ms
1.1.1.226,SJC,北美洲,圣何塞,345 ms
104.17.175.118,SJC,北美洲,圣何塞,345 ms
104.23.116.127,IAD,北美洲,阿什本,345 ms
104.17.118.12,SJC,北美洲,圣何塞,345 ms
1.0.0.81,SJC,北美洲,圣何塞,346 ms
104.16.241.188,SJC,北美洲,圣何塞,346 ms
104.17.156.108,SJC,北美洲,圣何塞,346 ms
172.67.150.85,LHR,欧洲,伦敦,346 ms
1.0.0.117,SJC,北美洲,圣何塞,346 ms
172.64.152.122,SJC,北美洲,圣何塞,346 ms
104.17.16.106,SJC,北美洲,圣何塞,346 ms
104.18.106.89,SJC,北美洲,圣何塞,346 ms
172.67.103.254,IAD,北美洲,阿什本,346 ms
104.16.239.17,SJC,北美洲,圣何塞,346 ms
104.16.76.96,SJC,北美洲,圣何塞,346 ms
172.65.48.163,LHR,欧洲,伦敦,346 ms
1.1.1.85,SJC,北美洲,圣何塞,346 ms
108.165.216.213,SJC,北美洲,圣何塞,347 ms
104.17.223.69,SJC,北美洲,圣何塞,347 ms
1.0.0.137,SJC,北美洲,圣何塞,347 ms
104.19.136.111,LAX,北美洲,洛杉矶,347 ms
104.17.88.51,SJC,北美洲,圣何塞,347 ms
198.41.205.219,SJC,北美洲,圣何塞,348 ms
89.116.161.143,SJC,北美洲,圣何塞,348 ms
104.19.169.37,SJC,北美洲,圣何塞,348 ms
104.18.77.17,SJC,北美洲,圣何塞,348 ms
104.17.55.69,SJC,北美洲,圣何塞,348 ms
1.0.0.135,SJC,北美洲,圣何塞,348 ms
104.16.24.64,SJC,北美洲,圣何塞,348 ms
1.0.0.140,SJC,北美洲,圣何塞,348 ms
104.19.145.14,SJC,北美洲,圣何塞,348 ms
104.18.196.244,SJC,北美洲,圣何塞,349 ms
104.24.74.142,IAD,北美洲,阿什本,349 ms
104.16.185.38,SJC,北美洲,圣何塞,349 ms
104.21.17.230,LHR,欧洲,伦敦,349 ms
1.0.0.172,SJC,北美洲,圣何塞,349 ms
1.1.1.170,SJC,北美洲,圣何塞,349 ms
104.17.183.90,SJC,北美洲,圣何塞,349 ms
104.17.43.177,SJC,北美洲,圣何塞,349 ms
104.17.97.32,SJC,北美洲,圣何塞,349 ms
104.17.209.58,SJC,北美洲,圣何塞,349 ms
1.1.1.156,SJC,北美洲,圣何塞,349 ms
1.0.0.172,SJC,北美洲,圣何塞,350 ms
1.0.0.197,SJC,北美洲,圣何塞,350 ms
104.16.255.90,SJC,北美洲,圣何塞,350 ms
1.0.0.193,SJC,北美洲,圣何塞,350 ms
104.24.65.125,IAD,北美洲,阿什本,350 ms
104.18.38.11,SJC,北美洲,圣何塞,350 ms
1.0.0.184,SJC,北美洲,圣何塞,350 ms
104.19.139.22,LAX,北美洲,洛杉矶,350 ms
104.19.226.40,SJC,北美洲,圣何塞,351 ms
1.1.1.178,SJC,北美洲,圣何塞,351 ms
104.19.158.217,SJC,北美洲,圣何塞,351 ms
104.17.196.149,SJC,北美洲,圣何塞,351 ms
104.17.22.217,SJC,北美洲,圣何塞,351 ms
162.159.153.56,SJC,北美洲,圣何塞,351 ms
91.193.59.238,SJC,北美洲,圣何塞,351 ms
